application software 应用软件
chip      芯片
clock rate      时钟速率
clock speed      时钟频率
computer technician      计算机技术人员
control unit      控制部件
coprocessor      协处理器
desktop      桌面
digital      数字的
dual in-line memory module      双列直插内存模块
Digital Video Interface Port      数字视频接口
Extended Binary Coded Decimal Interchange Code      扩充的二进制编码的十进制交换码
Ethernet port      以太网端口
expansion bus      扩展总线
expansion card      扩展卡
expansion slot      扩展槽
ExpressCard      
external Serial Advanced Technology Attachment      外部串行高级技术附件
FireWire bus      火线总线
FireWire port      火线端口
flash menory      闪速存储器
game port      游戏端口
graphics processing unit      图形处理单元
graphics card      图形卡
graphics coprocessor      图形协处理器
handheld      手持
hexadecimal system?      十六进制系统
High Definition Multimedia Interface      高定义多媒体接口
integrated circuit      集成电路
laptop      膝上型电脑
legacy port      传统端口
logical operation      逻辑操作
main board      主板
memory      内存
micorporcessor      微处理器
Mini DisplayPort      
motherboard      底板,母板
multicore chip      多核芯片
musical instrument digital interface      乐器数字接口
netbook      上网本
network adapter card      网络适配卡
network interface card      网卡
notebook      笔记本电脑
optical audio connections      光纤音频连接
parallel processing      并行处理
Plug and Play      即插即用
port      端口
power supply unit      电源供应部件
processor      处理器
random-access memory      随机存取内存,随机存取存储器
read-only memory      只读存储器
semiconductor      半导体
silicon chip      半导体芯片
slot      插槽
smartphone      智能手机
socket      套接字，插座
Sony/Philips Digital Interconnect Format      索尼/飞利浦数字互连格式
sound card      声卡
system board      系统板
system bus      系统总线
system chassis      系统机箱
system unit      系统单元
tablet      平板
tower computer      塔式计算机
Unicode      统一的字符编码标准
universal serial bus      通用串行总线
universal serial bus port      通用串行总线端口
Video Graphic Adapter port      视频图形适配器端口
virtual memory      虚拟内存
wireless network card      无线网络卡
word      字
active display area      有效显示区域
active-matrix organic light-emitting diode      有源矩阵有机发光二极管
artificial intelligence?      人工智能
aspect ratio      纵横比
bar code      条形码
bar code reader      条形码阅读器
card reader      读卡器
carpal tunnel syndrome       腕关节并发症
cathode-ray tube      阴极射线管
clarity      清晰度
cloud printer      云打印机
combination key      组合键
contrast ratio      对比度
cordless mouse      无线鼠标
digital camera      数字照相机
digital media player      数字媒体播放器
dance pad      跳舞垫
digital video camera      数码摄象机
digital whiteboard      数字白板
display screen      显示屏幕
document scanner      文件扫描仪
dot pitch      (CRT显示器的)点矩
dots per inch      每英寸点数
duplex printing      双面打印
e-book reader      电子书阅览器
ergonomics      人机工程学
e-ink      电子墨水
flat-panel monitor      平板监视器
flatbed scanner      平台型扫描仪
gamepad      游戏机手柄
game controller      游戏控制器
Google Cloud Print      谷歌的云打印
grayscale      灰度
handwriting recognition software      手写识别软件
hard copy      电脑打印稿, 硬拷贝
headsets      耳机
high-definition television      高清电视
household robot      家用机器人
immersive experience      沉浸式体验
industrial robot      工业机器人
inkjet printer      喷墨打印机
input      输入
input device      输入设备
interactive whiteboard      交互式白板
Internet telephone      网络电话
